ein,strein,name,sub_name,city,state,ntee_code,score,id,careofname,address,zipcode,ruling_date,asset_amount,income_amount,revenue_amount,created_at,updated_at
116037894,11-6037894,010-323 FRANKLIN ELEM SCHOOL PTA,010-323 FRANKLIN ELEM SCHOOL PTA,HEMPSTEAD,NY,None,2.7644787,141773374,% RUSSELL C BRAVATA,PO BOX 162,12090-0162,8/1/94,0,0,0,2020-11-18T13:13:20.963Z,2020-11-18T13:13:20.963Z
161530784,16-1530784,0SWEGO COUNTY DEPUTIES ASSOCIATION,0SWEGO COUNTY DEPUTIES ASSOCIATION,OSWEGO,NY,J40,2.7644787,141773374,% RUSSELL C BRAVATA,PO BOX 162,12090-0162,8/1/94,0,0,0,2020-11-18T13:13:20.963Z,2020-11-18T13:13:20.963Z
823270255,82-3270255,1 FREEDOM FOR ALL,1 FREEDOM FOR ALL,BRONX,NY,S20,2.7644787,141773374,% RUSSELL C BRAVATA,PO BOX 162,12090-0162,8/1/94,0,0,0,2020-11-18T13:13:20.963Z,2020-11-18T13:13:20.963Z
113195645,11-3195645,1 IN 9 THE LONG ISLAND BREAST CANCER ACTION COALITION,1 IN 9 THE LONG ISLAND BREAST CANCER ACTION COALITION,HEWLETT,NY,G30Z,2.7644787,141773374,% RUSSELL C BRAVATA,PO BOX 162,12090-0162,8/1/94,0,0,0,2020-11-18T13:13:20.963Z,2020-11-18T13:13:20.963Z
261211059,26-1211059,1 SG MICHAEL S CURRY MEMORIAL FOUNDATION INC,1 SG MICHAEL S CURRY MEMORIAL FOUNDATION INC,NEW YORK,NY,B82,2.7644787,141773374,% RUSSELL C BRAVATA,PO BOX 162,12090-0162,8/1/94,0,0,0,2020-11-18T13:13:20.963Z,2020-11-18T13:13:20.963Z
813891758,81-3891758,1 WORLD EXPO INC,1 WORLD EXPO INC,JAMAICA,NY,Q21,2.7644787,141773374,% RUSSELL C BRAVATA,PO BOX 162,12090-0162,8/1/94,0,0,0,2020-11-18T13:13:20.963Z,2020-11-18T13:13:20.963Z
261368079,26-1368079,1 YOUTH AT A TIME INC,1 YOUTH AT A TIME INC,BROOKLYN,NY,O50,2.7644787,141773374,% RUSSELL C BRAVATA,PO BOX 162,12090-0162,8/1/94,0,0,0,2020-11-18T13:13:20.963Z,2020-11-18T13:13:20.963Z
823155752,82-3155752,10 HORSE ART CENTER,10 HORSE ART CENTER,HIGHLAND,NY,A20,2.7644787,141773374,% RUSSELL C BRAVATA,PO BOX 162,12090-0162,8/1/94,0,0,0,2020-11-18T13:13:20.963Z,2020-11-18T13:13:20.963Z
842810488,84-2810488,100 DOLLAR ART SHOW INCORPORATED,100 DOLLAR ART SHOW INCORPORATED,MIDDLETOWN,NY,None,2.7644787,141773374,% RUSSELL C BRAVATA,PO BOX 162,12090-0162,8/1/94,0,0,0,2020-11-18T13:13:20.963Z,2020-11-18T13:13:20.963Z
352424157,35-2424157,100 HEARTS INC,100 HEARTS INC,QUEENS VLG,NY,P30,2.7644787,141773374,% RUSSELL C BRAVATA,PO BOX 162,12090-0162,8/1/94,0,0,0,2020-11-18T13:13:20.963Z,2020-11-18T13:13:20.963Z
571174550,57-1174550,100 WOMEN IN FINANCE ASSOCIATION INC,100 WOMEN IN FINANCE ASSOCIATION INC,NEW YORK,NY,S41,2.7644787,141773374,% RUSSELL C BRAVATA,PO BOX 162,12090-0162,8/1/94,0,0,0,2020-11-18T13:13:20.963Z,2020-11-18T13:13:20.963Z
455613923,45-5613923,100-HOLE GOLF MARATHON FOUNDATION INC,100-HOLE GOLF MARATHON FOUNDATION INC,NEW YORK,NY,T30,2.7644787,141773374,% RUSSELL C BRAVATA,PO BOX 162,12090-0162,8/1/94,0,0,0,2020-11-18T13:13:20.963Z,2020-11-18T13:13:20.963Z
820648835,82-0648835,1000 ISLANDS CHARITY POKER RUN CORP,1000 ISLANDS CHARITY POKER RUN CORP,CLAYTON,NY,N12,2.7644787,141773374,% RUSSELL C BRAVATA,PO BOX 162,12090-0162,8/1/94,0,0,0,2020-11-18T13:13:20.963Z,2020-11-18T13:13:20.963Z
462971279,46-2971279,100SUITSFOR100MEN,100SUITSFOR100MEN,ROSEDALE,NY,J01,2.7644787,141773374,% RUSSELL C BRAVATA,PO BOX 162,12090-0162,8/1/94,0,0,0,2020-11-18T13:13:20.963Z,2020-11-18T13:13:20.963Z
262418821,26-2418821,101-105 SOUTH EIGHTH STREET APTS HOUSING DEVELOPMENT FUND CORP,101-105 SOUTH EIGHTH STREET APTS HOUSING DEVELOPMENT FUND CORP,BROOKLYN,NY,None,2.7644787,141773374,% RUSSELL C BRAVATA,PO BOX 162,12090-0162,8/1/94,0,0,0,2020-11-18T13:13:20.963Z,2020-11-18T13:13:20.963Z
823378707,82-3378707,1026 FOUNDATION CORPORATION,1026 FOUNDATION CORPORATION,SPRNGFLD GDNS,NY,R22,2.7644787,141773374,% RUSSELL C BRAVATA,PO BOX 162,12090-0162,8/1/94,0,0,0,2020-11-18T13:13:20.963Z,2020-11-18T13:13:20.963Z
112170742,11-2170742,1049 MANAGEMENT CORPORATION,1049 MANAGEMENT CORPORATION ,HOLTSVILLE,NY,S47,2.7644787,141773374,% RUSSELL C BRAVATA,PO BOX 162,12090-0162,8/1/94,0,0,0,2020-11-18T13:13:20.963Z,2020-11-18T13:13:20.963Z
133998583,13-3998583,1051 COLLEGE AVENUE HOUSING DEVELOPMENT FUND CORP,1051 COLLEGE AVENUE HOUSING DEVELOPMENT FUND CORP,BRONX,NY,L20,2.7644787,141773374,% RUSSELL C BRAVATA,PO BOX 162,12090-0162,8/1/94,0,0,0,2020-11-18T13:13:20.963Z,2020-11-18T13:13:20.963Z
112417336,11-2417336,109TH PRECINCT COMMUNITY COUNCIL,109TH PRECINCT COMMUNITY COUNCIL,FLUSHING,NY,None,2.7644787,141773374,% RUSSELL C BRAVATA,PO BOX 162,12090-0162,8/1/94,0,0,0,2020-11-18T13:13:20.963Z,2020-11-18T13:13:20.963Z
834319211,83-4319211,10K BATAY YISROEL INC,10K BATAY YISROEL INC,BROOKLYN,NY,P50,2.7644787,141773374,% RUSSELL C BRAVATA,PO BOX 162,12090-0162,8/1/94,0,0,0,2020-11-18T13:13:20.963Z,2020-11-18T13:13:20.963Z
475183771,47-5183771,10X10 PHOTOBOOKS INC,10X10 PHOTOBOOKS INC,NEW YORK,NY,A20,2.7644787,141773374,% RUSSELL C BRAVATA,PO BOX 162,12090-0162,8/1/94,0,0,0,2020-11-18T13:13:20.963Z,2020-11-18T13:13:20.963Z
133732468,13-3732468,11-13 E 26 ST HOLDING CORP,11-13 E 26 ST HOLDING CORP,NEW YORK,NY,None,2.7644787,141773374,% RUSSELL C BRAVATA,PO BOX 162,12090-0162,8/1/94,0,0,0,2020-11-18T13:13:20.963Z,2020-11-18T13:13:20.963Z
113075152,11-3075152,110 TRANSPORTATION MANAGEMENT ASSOCIATION CORP,110 TRANSPORTATION MANAGEMENT ASSOCIATION CORP,MELVILLE,NY,S99,2.7644787,141773374,% RUSSELL C BRAVATA,PO BOX 162,12090-0162,8/1/94,0,0,0,2020-11-18T13:13:20.963Z,2020-11-18T13:13:20.963Z
753100052,75-3100052,1106 COLLEGE AVENUE H D F C,1106 COLLEGE AVENUE H D F C,BRONX,NY,L20,2.7644787,141773374,% RUSSELL C BRAVATA,PO BOX 162,12090-0162,8/1/94,0,0,0,2020-11-18T13:13:20.963Z,2020-11-18T13:13:20.963Z
832867482,83-2867482,1114 WARD AVENUE TENANTS ASSOCIATION,1114 WARD AVENUE TENANTS ASSOCIATION,BRONX,NY,S22,2.7644787,141773374,% RUSSELL C BRAVATA,PO BOX 162,12090-0162,8/1/94,0,0,0,2020-11-18T13:13:20.963Z,2020-11-18T13:13:20.963Z
133031100,13-3031100,116TH STREET BLOCK ASSOCIATION INC,116TH STREET BLOCK ASSOCIATION INC,NEW YORK,NY,None,2.7644787,141773374,% RUSSELL C BRAVATA,PO BOX 162,12090-0162,8/1/94,0,0,0,2020-11-18T13:13:20.963Z,2020-11-18T13:13:20.963Z
133997444,13-3997444,1185 PARK FOUNDATION INC,1185 PARK FOUNDATION INC,NEW YORK,NY,Z99Z,2.7644787,141773374,% RUSSELL C BRAVATA,PO BOX 162,12090-0162,8/1/94,0,0,0,2020-11-18T13:13:20.963Z,2020-11-18T13:13:20.963Z
131628401,13-1628401,1199 NATIONAL BENEFIT FUND FOR HOSPITAL & HUMAN SERVICE EMPLOYEES,1199 NATIONAL BENEFIT FUND FOR HOSPITAL & HUMAN SERVICE EMPLOYEES,NEW YORK,NY,Y43,2.7644787,141773374,% RUSSELL C BRAVATA,PO BOX 162,12090-0162,8/1/94,0,0,0,2020-11-18T13:13:20.963Z,2020-11-18T13:13:20.963Z
263870492,26-3870492,11TH HOUR CHRISTIAN INITIATIVES INC,11TH HOUR CHRISTIAN INITIATIVES INC,ROCHESTER,NY,X03,2.7644787,141773374,% RUSSELL C BRAVATA,PO BOX 162,12090-0162,8/1/94,0,0,0,2020-11-18T13:13:20.963Z,2020-11-18T13:13:20.963Z
510177147,51-0177147,12 CLUB,12 CLUB,NEW YORK,NY,None,2.7644787,141773374,% RUSSELL C BRAVATA,PO BOX 162,12090-0162,8/1/94,0,0,0,2020-11-18T13:13:20.963Z,2020-11-18T13:13:20.963Z
651221000,65-1221000,12 DUFFIELD GLEN SEATOR FOUNDATION,12 DUFFIELD GLEN SEATOR FOUNDATION,NEW YORK,NY,A25,2.7644787,141773374,% RUSSELL C BRAVATA,PO BOX 162,12090-0162,8/1/94,0,0,0,2020-11-18T13:13:20.963Z,2020-11-18T13:13:20.963Z
111964088,11-1964088,1205 BUILDING CORP,1205 BUILDING CORP,FARMINGDALE,NY,None,2.7644787,141773374,% RUSSELL C BRAVATA,PO BOX 162,12090-0162,8/1/94,0,0,0,2020-11-18T13:13:20.963Z,2020-11-18T13:13:20.963Z
272624336,27-2624336,122 EAST 66TH STREET FOUNDATION INC,122 EAST 66TH STREET FOUNDATION INC,NEW YORK,NY,A80,2.7644787,141773374,% RUSSELL C BRAVATA,PO BOX 162,12090-0162,8/1/94,0,0,0,2020-11-18T13:13:20.963Z,2020-11-18T13:13:20.963Z
201916971,20-1916971,124 FOUNDATION INC,124 FOUNDATION INC,BROOKLYN,NY,T20,2.7644787,141773374,% RUSSELL C BRAVATA,PO BOX 162,12090-0162,8/1/94,0,0,0,2020-11-18T13:13:20.963Z,2020-11-18T13:13:20.963Z
832522550,83-2522550,13 PLAYERS INC,13 PLAYERS INC,LEWISTON,NY,A65,2.7644787,141773374,% RUSSELL C BRAVATA,PO BOX 162,12090-0162,8/1/94,0,0,0,2020-11-18T13:13:20.963Z,2020-11-18T13:13:20.963Z
133702751,13-3702751,13 WEST 103RD STREET CORP,13 WEST 103RD STREET CORP,NEW YORK,NY,None,2.7644787,141773374,% RUSSELL C BRAVATA,PO BOX 162,12090-0162,8/1/94,0,0,0,2020-11-18T13:13:20.963Z,2020-11-18T13:13:20.963Z
136221550,13-6221550,131ST STREET BLOCK ASSOCIATION INC,131ST STREET BLOCK ASSOCIATION INC,BRONX,NY,S22,2.7644787,141773374,% RUSSELL C BRAVATA,PO BOX 162,12090-0162,8/1/94,0,0,0,2020-11-18T13:13:20.963Z,2020-11-18T13:13:20.963Z
454128058,45-4128058,1344 CLINTON AVE HOUSING DEVELOPMENT FUND CORPORATION,1344 CLINTON AVE HOUSING DEVELOPMENT FUND CORPORATION,NEW YORK,NY,L21,2.7644787,141773374,% RUSSELL C BRAVATA,PO BOX 162,12090-0162,8/1/94,0,0,0,2020-11-18T13:13:20.963Z,2020-11-18T13:13:20.963Z
272028351,27-2028351,15 FOUNDATION INC,15 FOUNDATION INC,NEW YORK,NY,T30,2.7644787,141773374,% RUSSELL C BRAVATA,PO BOX 162,12090-0162,8/1/94,0,0,0,2020-11-18T13:13:20.963Z,2020-11-18T13:13:20.963Z
834505997,83-4505997,1559 BOONE AVENUE HOUSING DEVELOPMENT FUND COMPANY INC,1559 BOONE AVENUE HOUSING DEVELOPMENT FUND COMPANY INC,NEW YORK,NY,L20,2.7644787,141773374,% RUSSELL C BRAVATA,PO BOX 162,12090-0162,8/1/94,0,0,0,2020-11-18T13:13:20.963Z,2020-11-18T13:13:20.963Z
112160751,11-2160751,158 160 MONTAGUE ST CORP,158 160 MONTAGUE ST CORP,BROOKLYN,NY,None,2.7644787,141773374,% RUSSELL C BRAVATA,PO BOX 162,12090-0162,8/1/94,0,0,0,2020-11-18T13:13:20.963Z,2020-11-18T13:13:20.963Z
161542259,16-1542259,158 CHENANGO STREET HOUSING DEVOPMENT FUND COMPANY INC,158 CHENANGO STREET HOUSING DEVOPMENT FUND COMPANY INC,BUFFALO,NY,None,2.7644787,141773374,% RUSSELL C BRAVATA,PO BOX 162,12090-0162,8/1/94,0,0,0,2020-11-18T13:13:20.963Z,2020-11-18T13:13:20.963Z
832082380,83-2082380,1653 FOUNDATION INC,1653 FOUNDATION INC,HUNTINGTON,NY,S20,2.7644787,141773374,% RUSSELL C BRAVATA,PO BOX 162,12090-0162,8/1/94,0,0,0,2020-11-18T13:13:20.963Z,2020-11-18T13:13:20.963Z
61531475,06-1531475,167TH STREET HOUSING DEVELOPMENT FUND CORP,167TH STREET HOUSING DEVELOPMENT FUND CORP,BRONX,NY,L20,2.7644787,141773374,% RUSSELL C BRAVATA,PO BOX 162,12090-0162,8/1/94,0,0,0,2020-11-18T13:13:20.963Z,2020-11-18T13:13:20.963Z
161239578,16-1239578,174TH TACTICAL FIGHTER WING SERVICE CLUB INC,174TH TACTICAL FIGHTER WING SERVICE CLUB INC,SYRACUSE,NY,N50,2.7644787,141773374,% RUSSELL C BRAVATA,PO BOX 162,12090-0162,8/1/94,0,0,0,2020-11-18T13:13:20.963Z,2020-11-18T13:13:20.963Z
133054220,13-3054220,178TH STREET HOUSING DEVELOPMENT FUND CORPORATION,178TH STREET HOUSING DEVELOPMENT FUND CORPORATION,BRONX,NY,L21Z,2.7644787,141773374,% RUSSELL C BRAVATA,PO BOX 162,12090-0162,8/1/94,0,0,0,2020-11-18T13:13:20.963Z,2020-11-18T13:13:20.963Z
270586244,27-0586244,1816 FARMINGTON QUAKER MEETINGHOUSE MUSEUM,1816 FARMINGTON QUAKER MEETINGHOUSE MUSEUM,FARMINGTON,NY,A54,2.7644787,141773374,% RUSSELL C BRAVATA,PO BOX 162,12090-0162,8/1/94,0,0,0,2020-11-18T13:13:20.963Z,2020-11-18T13:13:20.963Z
263788059,26-3788059,1854 CEDAR AVENUE HOUSING DEVELOPMENT FUND CORPORATION,1854 CEDAR AVENUE HOUSING DEVELOPMENT FUND CORPORATION,NEW YORK,NY,L21,2.7644787,141773374,% RUSSELL C BRAVATA,PO BOX 162,12090-0162,8/1/94,0,0,0,2020-11-18T13:13:20.963Z,2020-11-18T13:13:20.963Z
452100831,45-2100831,1886 COMMUNITY EMERGENCY FOOD PANTRY,1886 COMMUNITY EMERGENCY FOOD PANTRY,HUDSON,NY,K31,2.7644787,141773374,% RUSSELL C BRAVATA,PO BOX 162,12090-0162,8/1/94,0,0,0,2020-11-18T13:13:20.963Z,2020-11-18T13:13:20.963Z
474223500,47-4223500,1890 ANDREWS AVENUE HOUSING DEVELOPMENT FUND CORPORATION,1890 ANDREWS AVENUE HOUSING DEVELOPMENT FUND CORPORATION,BRONX,NY,L20,2.7644787,141773374,% RUSSELL C BRAVATA,PO BOX 162,12090-0162,8/1/94,0,0,0,2020-11-18T13:13:20.963Z,2020-11-18T13:13:20.963Z
260350520,26-0350520,1940 USG ACQUISITION CORPORATION,1940 USG ACQUISITION CORPORATION,NEW YORK,NY,S47,2.7644787,141773374,% RUSSELL C BRAVATA,PO BOX 162,12090-0162,8/1/94,0,0,0,2020-11-18T13:13:20.963Z,2020-11-18T13:13:20.963Z
133859362,13-3859362,1991 BATHGATE AVENUE HOUSING DEVELOPMENT FUND CORPORATION,1991 BATHGATE AVENUE HOUSING DEVELOPMENT FUND CORPORATION,BRONX,NY,L20,2.7644787,141773374,% RUSSELL C BRAVATA,PO BOX 162,12090-0162,8/1/94,0,0,0,2020-11-18T13:13:20.963Z,2020-11-18T13:13:20.963Z
166068379,16-6068379,19TH WARD COMMUNITY ASSOCIATION OF ROCHESTER NEW YORK INC,19TH WARD COMMUNITY ASSOCIATION OF ROCHESTER NEW YORK INC,ROCHESTER,NY,S22Z,2.7644787,141773374,% RUSSELL C BRAVATA,PO BOX 162,12090-0162,8/1/94,0,0,0,2020-11-18T13:13:20.963Z,2020-11-18T13:13:20.963Z
842094774,84-2094774,1FACE2FACE INC,1FACE2FACE INC,NEW ROCHELLE,NY,P99,2.7644787,141773374,% RUSSELL C BRAVATA,PO BOX 162,12090-0162,8/1/94,0,0,0,2020-11-18T13:13:20.963Z,2020-11-18T13:13:20.963Z
815069826,81-5069826,1K CLEATS 4 KIDS INC,1K CLEATS 4 KIDS INC,EASTCHESTER,NY,T50,2.7644787,141773374,% RUSSELL C BRAVATA,PO BOX 162,12090-0162,8/1/94,0,0,0,2020-11-18T13:13:20.963Z,2020-11-18T13:13:20.963Z
262332792,26-2332792,1ST LT LOUIS ALLEN SCHOLARSHIP & COMMUNITY FOUNDATION,1ST LT LOUIS ALLEN SCHOLARSHIP & COMMUNITY FOUNDATION,CHESTER,NY,B82,2.7644787,141773374,% RUSSELL C BRAVATA,PO BOX 162,12090-0162,8/1/94,0,0,0,2020-11-18T13:13:20.963Z,2020-11-18T13:13:20.963Z
133322410,13-3322410,1ST MARINE DIVISION ASSOCIATION INC NEW YORK CHAPTER,1ST MARINE DIVISION ASSOCIATION INC NEW YORK CHAPTER,SYOSSET,NY,W30,2.7644787,141773374,% RUSSELL C BRAVATA,PO BOX 162,12090-0162,8/1/94,0,0,0,2020-11-18T13:13:20.963Z,2020-11-18T13:13:20.963Z
453023036,45-3023036,20 20 VISION FOR SCHOOLS INC,20 20 VISION FOR SCHOOLS INC,BROOKLYN,NY,B19,2.7644787,141773374,% RUSSELL C BRAVATA,PO BOX 162,12090-0162,8/1/94,0,0,0,2020-11-18T13:13:20.963Z,2020-11-18T13:13:20.963Z
134127975,13-4127975,2000 SPAYS AND NEUTERS FOUNDATION,2000 SPAYS AND NEUTERS FOUNDATION,NEW YORK,NY,O20,2.7644787,141773374,% RUSSELL C BRAVATA,PO BOX 162,12090-0162,8/1/94,0,0,0,2020-11-18T13:13:20.963Z,2020-11-18T13:13:20.963Z
842804298,84-2804298,204TH AND 205TH STREET BLOCK ASSOCIATION,204TH AND 205TH STREET BLOCK ASSOCIATION,ST ALBANS,NY,S22,2.7644787,141773374,% RUSSELL C BRAVATA,PO BOX 162,12090-0162,8/1/94,0,0,0,2020-11-18T13:13:20.963Z,2020-11-18T13:13:20.963Z
464671557,46-4671557,2164 INC,2164 INC,NEW YORK,NY,O99,2.7644787,141773374,% RUSSELL C BRAVATA,PO BOX 162,12090-0162,8/1/94,0,0,0,2020-11-18T13:13:20.963Z,2020-11-18T13:13:20.963Z
471871594,47-1871594,21C4E INC,21C4E INC,TROY,NY,C02,2.7644787,141773374,% RUSSELL C BRAVATA,PO BOX 162,12090-0162,8/1/94,0,0,0,2020-11-18T13:13:20.963Z,2020-11-18T13:13:20.963Z
462638152,46-2638152,21ST CENTURY PARK ON THE OUTER HARBOR INC,21ST CENTURY PARK ON THE OUTER HARBOR INC,BUFFALO,NY,C01,2.7644787,141773374,% RUSSELL C BRAVATA,PO BOX 162,12090-0162,8/1/94,0,0,0,2020-11-18T13:13:20.963Z,2020-11-18T13:13:20.963Z
133810908,13-3810908,2246 WEBSTER AVENUE HDFC,2246 WEBSTER AVENUE HDFC,BRONX,NY,L20,2.7644787,141773374,% RUSSELL C BRAVATA,PO BOX 162,12090-0162,8/1/94,0,0,0,2020-11-18T13:13:20.963Z,2020-11-18T13:13:20.963Z
113496435,11-3496435,224TH-225TH STREET BLOCK ASSOCIATION OF LAURELTON,224TH-225TH STREET BLOCK ASSOCIATION OF LAURELTON,LAURELTON,NY,S22,2.7644787,141773374,% RUSSELL C BRAVATA,PO BOX 162,12090-0162,8/1/94,0,0,0,2020-11-18T13:13:20.963Z,2020-11-18T13:13:20.963Z
830493540,83-0493540,2321212 SCHENECTADY NORTH SIDE LL,2321212 SCHENECTADY NORTH SIDE LL,SCHENECTADY,NY,N63,2.7644787,141773374,% RUSSELL C BRAVATA,PO BOX 162,12090-0162,8/1/94,0,0,0,2020-11-18T13:13:20.963Z,2020-11-18T13:13:20.963Z
113267272,11-3267272,236 GREENE AVE HOUSING DEVELOPMENT FUND CORPORATION,236 GREENE AVE HOUSING DEVELOPMENT FUND CORPORATION,BROOKLYN,NY,L20,2.7644787,141773374,% RUSSELL C BRAVATA,PO BOX 162,12090-0162,8/1/94,0,0,0,2020-11-18T13:13:20.963Z,2020-11-18T13:13:20.963Z
