010-323 FRANKLIN ELEM SCHOOL PTA,EIN: 11-6037894            This organization is not listed in the IRS's most recent list of tax exempt organizations, but we have data associated with this Employer Identification Number. We have reconstructed basic information about the organization (like its name and tax code designation) from              an old list of exempt organiations.             However, this information may be out of date. It's even possible that the organization no longer has tax exempt status or no longer exists.          Nonprofit Tax Code Designation: 501(c)(3)            Defined as: Organizations for any of the following purposes: religious, educational, charitable, scientific, literary, testing for public safety, fostering national or international amateur sports competition (as long as it doesn’t provide athletic facilities or equipment), or the prevention of cruelty to children or animals.          Donations to this organization are tax deductible.More Resources:GuideStarGet notifications: Sign up for updates about our data.
0SWEGO COUNTY DEPUTIES ASSOCIATION,EIN: 16-1530784Classification            (NTEE)                        Labor Unions, Organizations              (Employment, Job-Related)            Nonprofit Tax Code Designation: 501(c)(5)            Defined as: Labor, agricultural and horticultural organizations that are educational or instructive, including unions, created for the purpose of improving conditions of work, and products of efficiency.          Donations to this organization are not tax deductible.More Resources:GuideStarGet notifications: Sign up for updates about our data.
1 FREEDOM FOR ALL,EIN: 82-3270255Classification            (NTEE)                        Community, Neighborhood Development, Improvement (General)              (Community Improvement, Capacity Building)            Nonprofit Tax Code Designation: 501(c)(3)            Defined as: Organizations for any of the following purposes: religious, educational, charitable, scientific, literary, testing for public safety, fostering national or international amateur sports competition (as long as it doesn’t provide athletic facilities or equipment), or the prevention of cruelty to children or animals.          Donations to this organization are tax deductible.More Resources:GuideStarGet notifications: Sign up for updates about our data.
1 IN 9 THE LONG ISLAND BREAST CANCER ACTION COALITION,EIN: 11-3195645Classification            (NTEE)                        Cancer              (Diseases, Disorders, Medical Disciplines)            Nonprofit Tax Code Designation: 501(c)(3)            Defined as: Organizations for any of the following purposes: religious, educational, charitable, scientific, literary, testing for public safety, fostering national or international amateur sports competition (as long as it doesn’t provide athletic facilities or equipment), or the prevention of cruelty to children or animals.          Donations to this organization are tax deductible.More Resources:GuideStarGet notifications: Sign up for updates about our data.
1 SG MICHAEL S CURRY MEMORIAL FOUNDATION INC,EIN: 26-1211059            This organization is not listed in the IRS's most recent list of tax exempt organizations, but we have data associated with this Employer Identification Number. We have reconstructed basic information about the organization (like its name and tax code designation) from              an old list of exempt organiations.             However, this information may be out of date. It's even possible that the organization no longer has tax exempt status or no longer exists.          Classification            (NTEE)                        Scholarships, Student Financial Aid Services, Awards              (Educational Institutions and Related Activities)            Nonprofit Tax Code Designation: 501(c)(3)            Defined as: Organizations for any of the following purposes: religious, educational, charitable, scientific, literary, testing for public safety, fostering national or international amateur sports competition (as long as it doesn’t provide athletic facilities or equipment), or the prevention of cruelty to children or animals.          Donations to this organization are tax deductible.More Resources:GuideStarGet notifications: Sign up for updates about our data.
1 WORLD EXPO INC,EIN: 81-3891758Classification            (NTEE)                        International Cultural Exchange              (International, Foreign Affairs and National Security)            Nonprofit Tax Code Designation: 501(c)(3)            Defined as: Organizations for any of the following purposes: religious, educational, charitable, scientific, literary, testing for public safety, fostering national or international amateur sports competition (as long as it doesn’t provide athletic facilities or equipment), or the prevention of cruelty to children or animals.          Donations to this organization are tax deductible.More Resources:GuideStarGet notifications: Sign up for updates about our data.
1 YOUTH AT A TIME INC,EIN: 26-1368079Classification            (NTEE)                        Youth Development Programs, Other              (Youth Development)            Nonprofit Tax Code Designation: 501(c)(3)            Defined as: Organizations for any of the following purposes: religious, educational, charitable, scientific, literary, testing for public safety, fostering national or international amateur sports competition (as long as it doesn’t provide athletic facilities or equipment), or the prevention of cruelty to children or animals.          Donations to this organization are tax deductible.More Resources:GuideStarGet notifications: Sign up for updates about our data.
10 HORSE ART CENTER,EIN: 82-3155752Classification            (NTEE)                        Arts, Cultural Organizations - Multipurpose              (Arts, Culture and Humanities)            Nonprofit Tax Code Designation: 501(c)(3)            Defined as: Organizations for any of the following purposes: religious, educational, charitable, scientific, literary, testing for public safety, fostering national or international amateur sports competition (as long as it doesn’t provide athletic facilities or equipment), or the prevention of cruelty to children or animals.          Donations to this organization are tax deductible.More Resources:GuideStarGet notifications: Sign up for updates about our data.
100 DOLLAR ART SHOW INCORPORATED,EIN: 84-2810488Nonprofit Tax Code Designation: 501(c)(3)            Defined as: Organizations for any of the following purposes: religious, educational, charitable, scientific, literary, testing for public safety, fostering national or international amateur sports competition (as long as it doesn’t provide athletic facilities or equipment), or the prevention of cruelty to children or animals.          Donations to this organization are tax deductible.More Resources:GuideStarGet notifications: Sign up for updates about our data.
100 HEARTS INC,EIN: 35-2424157Classification            (NTEE)                        Children's, Youth Services              (Human Services — Multipurpose and Other)            Nonprofit Tax Code Designation: 501(c)(3)            Defined as: Organizations for any of the following purposes: religious, educational, charitable, scientific, literary, testing for public safety, fostering national or international amateur sports competition (as long as it doesn’t provide athletic facilities or equipment), or the prevention of cruelty to children or animals.          Donations to this organization are tax deductible.More Resources:GuideStarGet notifications: Sign up for updates about our data.
100 WOMEN IN FINANCE ASSOCIATION INC,EIN: 57-1174550Classification            (NTEE)                        Promotion of Business              (Community Improvement, Capacity Building)            Nonprofit Tax Code Designation: 501(c)(6)            Defined as: Business leagues, chambers of commerce, real estate boards, etc, created for the improvement of business conditions.          Donations to this organization are not tax deductible.More Resources:GuideStarGet notifications: Sign up for updates about our data.
